BayernMunich,Ron-Thorben Hoffmann,0
BayernMunich,Manuel Neuer,6
BayernMunich,Sven Ulreich,0
BayernMunich,David Alaba,0
BayernMunich,Jerome Boateng,0
BayernMunich,Alphonso Davies,0
BayernMunich,Lucas Hernandez,0
BayernMunich,Joshua Kimmich,0
BayernMunich,Lars Lukas Mai,0
BayernMunich,Odriozola,0
BayernMunich,Benjamin Pavard,0
BayernMunich,Chris Richards,0
BayernMunich,Niklas Sule,0
BayernMunich,Coutinho,0
BayernMunich,Mickael Cuisance,0
BayernMunich,Leon Goretzka,0
BayernMunich,Javi Martinez,0
BayernMunich,Jamal Musiala,0
BayernMunich,Sarpreet Singh,0
BayernMunich,Corentin Tolisso,0
BayernMunich,Paul Will,0
BayernMunich,Jann-Fiete Arp,0
BayernMunich,Oliver Batista-Meier,0
BayernMunich,Kingsley Coman,0
BayernMunich,Leon Dajaku,0
BayernMunich,Serge Gnabry,0
BayernMunich,Woo-yeong Jeong,0
BayernMunich,Robert Lewandowski,0
BayernMunich,Thomas Muller,0
BayernMunich,Ivan Perisic,0
BayernMunich,Kwasi Wriedt,0
BayernMunich,Joshua Zirkzee,0
Dortmund,Roman Burki,0
Dortmund,Marwin Hitz,0
Dortmund,Luca Unbehaun,0
Dortmund,Manuel Akanji,0
Dortmund,Mats Hummels,0
Dortmund,Mateu Morey,0
Dortmund,Thomas Meunier,0
Dortmund,Felix Passlack,0
Dortmund,Lukasz Piszczek,0
Dortmund,Marcel Schmelzer,0
Dortmund,Nico Schulz,0
Dortmund,Dan-Axel Zagadou,0
Dortmund,Jude Bellingham,0
Dortmund,Julian Brandt,0
Dortmund,Emre Can,0
Dortmund,Mahmoud Dahoud,0
Dortmund,Thomas Delaney,0
Dortmund,Raphael Guerreiro,0
Dortmund,Immanuel Pherai,0
Dortmund,Tobias Raschl,0
Dortmund,Reinier,0
Dortmund,Giovanni Reyna,0
Dortmund,Sergio Gomez,0
Dortmund,Axel Witsel,0
Dortmund,Erling Haland,0
Dortmund,Thorgan Hazard,0
Dortmund,Marco Reus,0
Dortmund,Jadon Sancho,0
Dortmund,Marius Wolf,0
Liverpool,Adrián,0
Liverpool,Alisson,0
